user_id,username,company_name,subscription_type,country,signup_date
132,emma.v_132,Globex,Enterprise,Germany,2023-09-30 00:00:00.000000
133,frank_g_133,Cyberdyne Systems,Premium,Japan,2022-09-13 00:00:00.000000
134,bob.smith_134,Acme Corp,Enterprise,France,2023-06-09 00:00:00.000000
135,david.l_135,Umbrella Corp,Free,France,2023-06-12 00:00:00.000000
136,charlie_k_136,Vehement Capital,Premium,United Kingdom,2025-10-16 00:00:00.000000
137,bob.smith_137,Hooli,Basic,Canada,2024-01-21 00:00:00.000000
138,emma.v_138,Tyrell Corp,Basic,United Kingdom,2025-11-23 00:00:00.000000
139,alice_w_139,Stark Industries,Premium,United States,2023-06-21 00:00:00.000000
140,frank_g_140,Hooli,Premium,Canada,2025-08-16 00:00:00.000000
141,emma.v_141,Stark Industries,Enterprise,United States,2023-02-21 00:00:00.000000
142,bob.smith_142,Acme Corp,Enterprise,Canada,2024-05-25 00:00:00.000000
143,alice_w_143,Cyberdyne Systems,Enterprise,Canada,2022-02-07 00:00:00.000000
144,jack_r_144,Stark Industries,Enterprise,Canada,2022-07-03 00:00:00.000000
145,müller_a_145,Umbrella Corp,Enterprise,Australia,2023-02-12 00:00:00.000000
146,grace_h_34,Vehement Capital,Basic,Singapore,2024-12-18 00:00:00.000000
147,jack_r_147,Wayne Enterprises,Free,Brazil,2025-10-07 00:00:00.000000
148,bob.smith_148,Hooli,Premium,Australia,2024-05-12 00:00:00.000000
149,henry.m_149,Vehement Capital,Basic,United States,2023-09-15 00:00:00.000000
150,frank_g_150,Tyrell Corp,Premium,Canada,2023-03-11 00:00:00.000000
151,grace_h_151,Cyberdyne Systems,Free,France,2024-09-22 00:00:00.000000
152,emma.v_152,Hooli,Premium,Canada,2023-05-30 00:00:00.000000
153,emma.v_153,Tyrell Corp,Premium,Singapore,2022-12-10 00:00:00.000000
154,bob.smith_154,Unknowm,Basic,Australia,2022-04-02 00:00:00.000000
155,henry.m_155,Cyberdyne Systems,Free,Canada,2025-11-18 00:00:00.000000
156,bob.smith_156,Stark Industries,Basic,Canada,2024-06-17 00:00:00.000000
157,emma.v_157,Cyberdyne Systems,Free,France,2025-10-11 00:00:00.000000
158,grace_h_158,Tyrell Corp,Enterprise,United States,2024-03-21 00:00:00.000000
159,henry.m_159,Globex,Basic,India,2022-03-26 00:00:00.000000
160,jack_r_160,Cyberdyne Systems,Enterprise,United States,2023-09-26 00:00:00.000000
161,bob.smith_148,Initech,Free,India,2023-01-29 00:00:00.000000
162,renee_s_162,Tyrell Corp,Unknown,Germany,2022-05-09 00:00:00.000000
163,henry.m_163,Umbrella Corp,Basic,Canada,2022-06-03 00:00:00.000000
164,frank_g_164,Umbrella Corp,Free,India,2024-02-02 00:00:00.000000
165,iris_p_165,Wayne Enterprises,Free,India,2025-03-17 00:00:00.000000
166,jack_r_166,Wayne Enterprises,Premium,France,2023-09-01 00:00:00.000000
167,grace_h_86,Tyrell Corp,Premium,United States,2024-02-22 00:00:00.000000
168,david.l_168,Hooli,Enterprise,Brazil,2025-11-08 00:00:00.000000
169,grace_h_169,Stark Industries,Basic,Brazil,2025-04-06 00:00:00.000000
170,jack_r_170,Umbrella Corp,Basic,Australia,2025-05-22 00:00:00.000000
171,frank_g_171,Tyrell Corp,Free,Brazil,2024-04-09 00:00:00.000000
172,alice_w_172,Wayne Enterprises,Basic,Singapore,2023-01-27 00:00:00.000000
173,grace_h_173,Tyrell Corp,Enterprise,Japan,2025-04-07 00:00:00.000000
174,grace_h_174,Cyberdyne Systems,Enterprise,Canada,2025-11-13 00:00:00.000000
175,cléo.b_175,Globex,Free,United Kingdom,2022-03-19 00:00:00.000000
176,charlie_k_176,Hooli,Basic,France,2025-04-20 00:00:00.000000
177,alice_w_177,Acme Corp,Enterprise,United Kingdom,2022-03-20 00:00:00.000000
178,emma.v_74,Initech,Basic,Singapore,2025-04-05 00:00:00.000000
179,frank_g_179,Hooli,Free,United Kingdom,2025-07-08 00:00:00.000000
180,iris_p_180,Initech,Enterprise,United Kingdom,2024-12-21 00:00:00.000000
181,cléo.b_181,Initech,Enterprise,Germany,2025-01-12 00:00:00.000000
182,iris_p_182,Hooli,Premium,France,2022-01-12 00:00:00.000000
183,alice_w_183,Vehement Capital,Free,Japan,2025-03-13 00:00:00.000000
184,henry.m_184,Stark Industries,Enterprise,Germany,2022-06-25 00:00:00.000000
185,henry.m_185,Cyberdyne Systems,Free,Canada,2023-02-07 00:00:00.000000
186,david.l_47,Tyrell Corp,Enterprise,Brazil,2023-07-30 00:00:00.000000
187,alice_w_187,Globex,Enterprise,United Kingdom,2024-10-27 00:00:00.000000
188,emma.v_188,Globex,Enterprise,France,2022-06-16 00:00:00.000000
189,emma.v_189,Unknowm,Free,Unknown,2025-04-27 00:00:00.000000
190,alice_w_190,Vehement Capital,Basic,Brazil,2025-08-23 00:00:00.000000
191,henry.m_191,Unknowm,Unknown,United Kingdom,2023-12-16 00:00:00.000000
192,grace_h_192,Umbrella Corp,Basic,Australia,2023-08-30 00:00:00.000000
193,bob.smith_193,Cyberdyne Systems,Enterprise,India,2025-10-19 00:00:00.000000
194,bob.smith_194,Stark Industries,Basic,Australia,2023-01-03 00:00:00.000000
195,alice_w_195,Globex,Enterprise,Singapore,2024-11-14 00:00:00.000000
196,charlie_k_196,Wayne Enterprises,Free,Singapore,2023-02-09 00:00:00.000000
197,iris_p_197,Acme Corp,Free,Brazil,2025-08-14 00:00:00.000000
198,frank_g_198,Umbrella Corp,Enterprise,United States,2022-02-03 00:00:00.000000
199,jack_r_199,Stark Industries,Enterprise,Australia,2024-05-31 00:00:00.000000
200,henry.m_200,Stark Industries,Enterprise,Japan,2024-08-17 00:00:00.000000
201,henry.m_201,Hooli,Free,India,2022-09-28 00:00:00.000000
202,bob.smith_202,Cyberdyne Systems,Free,Canada,2022-08-09 00:00:00.000000
203,bob.smith_203,Hooli,Free,Singapore,2023-07-08 00:00:00.000000
204,emma.v_204,Stark Industries,Enterprise,France,2024-11-19 00:00:00.000000
205,grace_h_205,Tyrell Corp,Basic,Brazil,2025-10-07 00:00:00.000000
206,henry.m_206,Initech,Basic,India,2025-06-25 00:00:00.000000
207,david.l_207,Vehement Capital,Free,India,2022-08-18 00:00:00.000000
208,grace_h_208,Cyberdyne Systems,Premium,Brazil,2024-10-20 00:00:00.000000
209,bob.smith_209,Initech,Basic,Germany,2023-12-08 00:00:00.000000
210,frank_g_210,Wayne Enterprises,Basic,Brazil,2023-07-26 00:00:00.000000
211,iris_p_211,Vehement Capital,Premium,Canada,2022-07-09 00:00:00.000000
212,jack_r_212,Unknowm,Enterprise,United Kingdom,2022-09-26 00:00:00.000000
213,emma.v_213,Unknowm,Enterprise,Unknown,2024-06-13 00:00:00.000000
214,henry.m_214,Cyberdyne Systems,Free,Japan,2023-03-25 00:00:00.000000
215,jack_r_215,Globex,Premium,Canada,2022-01-12 00:00:00.000000
216,david.l_216,Wayne Enterprises,Free,Germany,2024-09-09 00:00:00.000000
217,grace_h_217,Cyberdyne Systems,Premium,Brazil,2024-09-21 00:00:00.000000
218,bob.smith_218,Hooli,Enterprise,Japan,2024-12-12 00:00:00.000000
219,grace_h_219,Acme Corp,Premium,Singapore,2024-05-22 00:00:00.000000
220,alice_w_220,Tyrell Corp,Free,Japan,2022-02-16 00:00:00.000000
221,david.l_221,Globex,Basic,Australia,2025-07-10 00:00:00.000000
222,grace_h_222,Tyrell Corp,Enterprise,United Kingdom,2022-01-08 00:00:00.000000
223,henry.m_223,Vehement Capital,Enterprise,Brazil,2025-01-11 00:00:00.000000
224,emma.v_224,Acme Corp,Free,United States,2022-05-26 00:00:00.000000
225,frank_g_225,Wayne Enterprises,Enterprise,France,2023-09-06 00:00:00.000000
226,cléo.b_226,Hooli,Free,Australia,2023-05-21 00:00:00.000000
227,jack_r_227,Stark Industries,Unknown,United States,2023-07-27 00:00:00.000000
228,emma.v_228,Umbrella Corp,Free,Australia,2024-01-06 00:00:00.000000
229,alice_w_229,Cyberdyne Systems,Premium,Canada,2024-11-16 00:00:00.000000
230,iris_p_230,Umbrella Corp,Free,India,2024-09-24 00:00:00.000000
231,bob.smith_231,Hooli,Premium,Japan,2024-05-13 00:00:00.000000
232,henry.m_232,Vehement Capital,Enterprise,Unknown,2025-11-18 00:00:00.000000
233,bob.smith_233,Stark Industries,Free,Australia,2024-09-08 00:00:00.000000
234,alice_w_234,Globex,Basic,United Kingdom,2024-12-11 00:00:00.000000
235,emma.v_235,Hooli,Enterprise,United States,2023-01-20 00:00:00.000000
236,bob.smith_236,Hooli,Premium,India,2022-11-27 00:00:00.000000
237,charlie_k_237,Umbrella Corp,Basic,Japan,2025-06-21 00:00:00.000000
238,alice_w_238,Cyberdyne Systems,Free,Unknown,2024-01-01 00:00:00.000000
239,alice_w_239,Umbrella Corp,Enterprise,France,2023-05-20 00:00:00.000000
240,frank_g_240,Stark Industries,Basic,Australia,2024-01-12 00:00:00.000000
241,frank_g_241,Acme Corp,Free,India,2022-07-23 00:00:00.000000
242,grace_h_242,Tyrell Corp,Basic,United Kingdom,2022-06-22 00:00:00.000000
243,iris_p_243,Initech,Free,India,2023-04-19 00:00:00.000000
244,josé_m_244,Acme Corp,Free,Canada,2023-01-09 00:00:00.000000
245,frank_g_245,Tyrell Corp,Enterprise,United Kingdom,2025-05-24 00:00:00.000000
246,jean-luc_246,Tyrell Corp,Enterprise,Germany,2023-06-09 00:00:00.000000
247,grace_h_247,Stark Industries,Enterprise,Australia,2022-09-30 00:00:00.000000
248,frank_g_248,Initech,Free,Brazil,2024-06-28 00:00:00.000000
249,bob.smith_231,Globex,Free,Australia,2023-06-12 00:00:00.000000
250,jack_r_147,Stark Industries,Premium,United States,2022-12-31 00:00:00.000000
251,charlie_k_251,Tyrell Corp,Basic,United States,2022-10-23 00:00:00.000000
252,jack_r_252,Unknowm,Premium,Brazil,2025-05-10 00:00:00.000000
253,frank_g_253,Stark Industries,Basic,United Kingdom,2022-11-10 00:00:00.000000
254,david.l_254,Tyrell Corp,Free,Canada,2022-06-13 00:00:00.000000
255,henry.m_19,Cyberdyne Systems,Enterprise,United Kingdom,2022-06-10 00:00:00.000000
256,charlie_k_256,Wayne Enterprises,Basic,United Kingdom,2022-10-28 00:00:00.000000
257,grace_h_247,Wayne Enterprises,Enterprise,United Kingdom,2023-08-15 00:00:00.000000
258,grace_h_258,Initech,Premium,Brazil,2025-08-09 00:00:00.000000
259,jack_r_259,Unknowm,Basic,United States,2023-08-17 00:00:00.000000
260,frank_g_260,Cyberdyne Systems,Enterprise,India,2025-09-15 00:00:00.000000
261,jack_r_261,Tyrell Corp,Premium,Brazil,2023-09-05 00:00:00.000000
262,emma.v_262,Vehement Capital,Enterprise,India,2024-03-15 00:00:00.000000
263,bob.smith_263,Vehement Capital,Basic,India,2025-04-16 00:00:00.000000
264,alice_w_264,Cyberdyne Systems,Free,Japan,2025-06-18 00:00:00.000000
265,jack_r_265,Acme Corp,Basic,France,2023-05-23 00:00:00.000000
266,henry.m_266,Hooli,Enterprise,Germany,2022-12-29 00:00:00.000000
267,henry.m_267,Globex,Free,Australia,2023-12-29 07:11:03.040791
268,henry.m_268,Wayne Enterprises,Premium,Canada,2023-02-23 00:00:00.000000
269,frank_g_269,Cyberdyne Systems,Enterprise,France,2025-03-07 00:00:00.000000
270,frank_g_270,Hooli,Premium,Canada,2024-08-29 00:00:00.000000
271,jack_r_271,Initech,Basic,Singapore,2022-03-22 00:00:00.000000
272,alice_w_272,Umbrella Corp,Unknown,Unknown,2024-05-25 00:00:00.000000
273,charlie_k_273,Cyberdyne Systems,Free,United Kingdom,2024-01-04 00:00:00.000000
274,iris_p_274,Vehement Capital,Premium,Australia,2022-01-22 00:00:00.000000
275,henry.m_275,Wayne Enterprises,Free,Germany,2025-05-15 00:00:00.000000
276,emma.v_276,Acme Corp,Free,France,2022-04-02 00:00:00.000000
277,cléo.b_277,Umbrella Corp,Free,Canada,2022-06-17 00:00:00.000000
278,emma.v_278,Stark Industries,Premium,Brazil,2023-01-18 00:00:00.000000
279,grace_h_279,Wayne Enterprises,Free,Canada,2024-11-26 00:00:00.000000
280,jean-luc_280,Hooli,Premium,United States,2023-02-12 00:00:00.000000
281,frank_g_281,Vehement Capital,Basic,United Kingdom,2022-01-05 00:00:00.000000
282,frank_g_282,Cyberdyne Systems,Free,United Kingdom,2025-09-29 00:00:00.000000
283,frank_g_283,Globex,Enterprise,Germany,2024-10-01 00:00:00.000000
284,bob.smith_284,Wayne Enterprises,Premium,India,2025-07-07 00:00:00.000000
285,alice_w_285,Vehement Capital,Free,Brazil,2022-12-18 00:00:00.000000
286,bob.smith_286,Tyrell Corp,Free,United States,2024-04-26 00:00:00.000000
287,iris_p_287,Wayne Enterprises,Basic,Australia,2023-09-22 00:00:00.000000
288,frank_g_288,Initech,Free,Brazil,2022-10-06 00:00:00.000000
289,jack_r_289,Unknowm,Free,Unknown,2022-06-22 00:00:00.000000
290,frank_g_290,Acme Corp,Premium,Unknown,2022-02-21 00:00:00.000000
291,henry.m_291,Tyrell Corp,Premium,Brazil,2025-10-31 00:00:00.000000
292,david.l_292,Wayne Enterprises,Enterprise,Germany,2024-08-07 00:00:00.000000
293,david.l_293,Stark Industries,Free,Canada,2025-01-06 00:00:00.000000
294,charlie_k_294,Globex,Free,United States,2023-08-24 00:00:00.000000
295,frank_g_295,Vehement Capital,Free,United States,2024-12-24 00:00:00.000000
296,charlie_k_296,Tyrell Corp,Basic,India,2023-09-17 00:00:00.000000
297,bob.smith_297,Vehement Capital,Enterprise,Japan,2024-11-09 00:00:00.000000
298,alice_w_298,Initech,Enterprise,Singapore,2025-08-09 00:00:00.000000
299,bob.smith_299,Umbrella Corp,Premium,Singapore,2025-10-30 00:00:00.000000
300,emma.v_300,Umbrella Corp,Premium,Singapore,2022-02-24 00:00:00.000000
301,frank_g_301,Hooli,Premium,United Kingdom,2024-10-13 00:00:00.000000
302,emma.v_302,Umbrella Corp,Premium,Germany,2023-04-05 00:00:00.000000
303,bob.smith_303,Vehement Capital,Enterprise,United Kingdom,2025-03-20 00:00:00.000000
304,alice_w_304,Hooli,Basic,Germany,2025-03-24 00:00:00.000000
305,charlie_k_305,Hooli,Premium,Australia,2022-10-28 00:00:00.000000
306,emma.v_306,Stark Industries,Enterprise,United Kingdom,2024-02-27 00:00:00.000000
307,emma.v_307,Globex,Premium,India,2025-11-30 00:00:00.000000
308,david.l_308,Tyrell Corp,Enterprise,United States,2025-05-19 00:00:00.000000
309,david.l_309,Cyberdyne Systems,Basic,Canada,2025-07-18 00:00:00.000000
310,josé_m_244,Vehement Capital,Basic,Germany,2024-12-10 00:00:00.000000
311,bob.smith_311,Acme Corp,Basic,United States,2023-06-09 00:00:00.000000
312,charlie_k_312,Cyberdyne Systems,Premium,Singapore,2022-07-25 00:00:00.000000
313,jack_r_313,Vehement Capital,Basic,Germany,2022-10-06 00:00:00.000000
314,henry.m_314,Stark Industries,Enterprise,France,2023-08-14 00:00:00.000000
315,grace_h_315,Initech,Enterprise,United States,2022-01-03 00:00:00.000000
316,jack_r_316,Acme Corp,Premium,United Kingdom,2024-08-10 00:00:00.000000
317,grace_h_317,Stark Industries,Basic,Brazil,2024-09-02 00:00:00.000000
318,charlie_k_318,Cyberdyne Systems,Enterprise,Germany,2025-02-13 00:00:00.000000
319,alice_w_319,Globex,Unknown,United Kingdom,2024-02-19 00:00:00.000000
320,iris_p_320,Wayne Enterprises,Basic,Germany,2025-04-29 00:00:00.000000
321,jack_r_321,Tyrell Corp,Enterprise,France,2024-11-09 00:00:00.000000
322,bob.smith_322,Tyrell Corp,Basic,Brazil,2023-08-02 00:00:00.000000
323,emma.v_323,Initech,Free,France,2024-08-24 00:00:00.000000
324,henry.m_324,Unknowm,Unknown,India,2024-05-18 00:00:00.000000
325,alice_w_325,Initech,Free,Japan,2023-02-05 00:00:00.000000
326,jack_r_326,Initech,Basic,Japan,2024-03-15 00:00:00.000000
327,iris_p_46,Globex,Basic,Singapore,2023-09-24 00:00:00.000000
328,alice_w_328,Vehement Capital,Free,Brazil,2024-11-08 00:00:00.000000
329,charlie_k_329,Vehement Capital,Basic,India,2022-09-07 00:00:00.000000
330,henry.m_330,Tyrell Corp,Enterprise,Canada,2022-03-05 00:00:00.000000
331,bob.smith_331,Tyrell Corp,Free,Japan,2025-03-14 00:00:00.000000
332,jack_r_332,Wayne Enterprises,Enterprise,Australia,2022-07-10 00:00:00.000000
333,frank_g_333,Initech,Free,Japan,2023-10-14 00:00:00.000000
334,bob.smith_334,Initech,Enterprise,United States,2023-03-29 00:00:00.000000
335,bob.smith_335,Initech,Enterprise,India,2023-11-03 00:00:00.000000
336,jack_r_336,Cyberdyne Systems,Basic,Japan,2025-03-29 00:00:00.000000
337,bob.smith_337,Initech,Basic,United States,2023-10-06 00:00:00.000000
338,frank_g_338,Vehement Capital,Basic,United Kingdom,2022-01-01 00:00:00.000000
339,emma.v_339,Globex,Enterprise,United Kingdom,2023-07-14 00:00:00.000000
