log_id,api_id,request_time,response_time_ms,status_code,request_method,payload_size_kb,cpu_usage,memory_usage,request_count,error_message,server_region,is_error,performance_category
71,76,2026-05-05 19:03:10,448.44,204,PATCH,2784.464,10.12,51.04,1,No Error,Sa-East-1,False,Moderate
72,170,2026-05-22 22:00:40,33.21,200,PUT,2759.099,27.99,27.86,1,No Error,Ap-Southeast-1,False,Fast
73,141,2026-05-10 07:31:12,53.46,201,PATCH,714.147,19.69,15.46,1,No Error,Eu-West-1,False,Fast
74,64,2026-05-20 15:46:00,377.52,204,PATCH,437.713,8.56,45.05,1,No Error,Eu-West-1,False,Moderate
75,3,2026-05-13 15:17:11,224.33,204,PATCH,584.985,11.1,44.61,1,No Error,Ap-Southeast-1,False,Moderate
76,199,2026-05-10 23:34:23,209.9,200,POST,2296.477,35.48,22.97,1,No Error,Ap-Southeast-1,False,Moderate
77,190,2026-05-18 02:43:44,412.25,200,DELETE,12.471,33.0,31.13,1,No Error,Eu-West-1,False,Moderate
78,35,2026-05-25 22:04:36,16554.43,503,PATCH,822.892,98.78,95.95,1,Service Unavailable: Downstream database connection pool timeout,Us-West-2,True,Slow
79,54,2026-05-20 05:42:10,125.2,200,POST,784.724,33.63,28.95,1,No Error,Us-East-1,False,Fast
80,191,2026-05-02 06:37:56,74.33,200,PUT,111.176,1.25,31.61,1,No Error,Us-East-1,False,Fast
81,188,2026-05-09 07:03:39,249.56,200,PATCH,1010.553,34.42,40.52,1,No Error,Sa-East-1,False,Moderate
82,203,2026-05-04 19:02:05,-1.0,500,PATCH,3112.162,-99.0,0.0,2,CRITICAL_TELEMETRY_DROP_OUT,Us-East-1,True,Fast
83,237,2026-05-20 20:12:06,125.84,200,DELETE,1.358,15.84,23.63,1,No Error,Us-East-1,False,Fast
84,213,2026-05-17 15:02:59,10.3,404,POST,3860.335,5.82,15.5,1,Resource Not Found: Endpoint entity collection does not exist,Us-West-2,True,Fast
85,161,2026-05-18 10:03:51,14656.94,500,PATCH,2235.349,92.54,98.25,1,Internal Server Error: NullPointerException in controller execution layer,Us-East-1,True,Slow
86,27,2026-05-10 12:51:26,103.51,200,POST,2326.175,11.38,38.15,1,No Error,Ap-Southeast-1,False,Fast
87,102,2026-05-10 02:48:10,-1.0,500,PUT,1369.459,165.4,0.0,1,CRITICAL_TELEMETRY_DROP_OUT,Sa-East-1,True,Fast
88,126,2026-05-01 03:31:21,333.52,201,PATCH,696.652,3.22,21.05,1,No Error,Ap-Southeast-1,False,Moderate
89,122,2026-05-24 20:25:48,28.76,200,DELETE,4.403,26.09,45.53,1,No Error,Ap-Southeast-1,False,Fast
90,181,2026-05-02 09:06:05,445.21,201,DELETE,1.059,20.15,38.31,1,No Error,Sa-East-1,False,Moderate
91,120,2026-05-25 22:44:05,227.1,201,PATCH,3751.418,20.3,17.55,2,No Error,Us-East-1,False,Moderate
92,100,2026-05-06 17:17:19,27444.15,503,PATCH,916.117,99.58,97.25,1,Service Unavailable: Downstream database connection pool timeout,Sa-East-1,True,Slow
93,53,2026-05-08 23:46:21,180.48,204,GET,3.453,11.3,39.33,1,No Error,Ap-Southeast-1,False,Fast
94,18,2026-05-21 09:53:31,244.9,200,DELETE,12.416,22.48,36.47,1,No Error,Ap-Southeast-1,False,Moderate
95,56,2026-05-19 12:53:49,327.26,201,GET,9.858,23.48,14.62,1,No Error,Sa-East-1,False,Moderate
96,229,2026-05-07 07:30:39,93.82,201,POST,1093.325,34.8,40.99,12,No Error,Sa-East-1,False,Fast
97,158,2026-05-03 04:17:46,384.0,200,PUT,945.241,21.58,15.68,1,No Error,Ap-Southeast-1,False,Moderate
98,39,2026-05-08 19:51:54,332.74,201,PUT,3750.159,20.9,27.74,1,No Error,Us-West-2,False,Moderate
99,20,2026-05-08 21:57:39,447.7,200,DELETE,4.423,4.07,39.19,2,No Error,Ap-Southeast-1,False,Moderate
100,80,2026-05-04 00:37:04,90.76,400,DELETE,5.437,8.55,15.81,1,Bad Request: Invalid JSON payload structure,Ap-Southeast-1,True,Fast
101,167,2026-05-20 13:23:20,399.7,200,PATCH,3960.724,37.43,47.58,5,No Error,Us-East-1,False,Moderate
102,71,2026-05-05 01:37:52,382.27,204,DELETE,1.902,26.54,26.85,1,No Error,Sa-East-1,False,Moderate
103,245,2026-05-11 19:22:13,80.38,401,GET,0.751,4.24,21.18,1,Unauthorized: Signature mismatch or expired bearer token,Eu-West-1,True,Fast
104,181,2026-05-02 07:51:55,393.84,204,GET,12.26,9.41,40.61,1,No Error,Ap-Southeast-1,False,Moderate
105,26,2026-05-16 09:19:51,116.57,200,POST,3072.289,37.22,37.97,1,No Error,Ap-Southeast-1,False,Fast
106,41,2026-05-21 07:43:32,26.4,201,PUT,3066.362,11.82,25.5,1,No Error,Us-East-1,False,Fast
107,96,2026-05-22 14:19:18,121.12,204,DELETE,11.876,22.75,24.66,5,No Error,Us-West-2,False,Fast
108,234,2026-05-03 00:12:06,204.28,200,DELETE,8.334,7.88,27.6,1,No Error,Us-East-1,False,Moderate
109,159,2026-05-03 22:01:02,75.53,404,GET,1.459,7.25,12.74,2,Resource Not Found: Endpoint entity collection does not exist,Ap-Southeast-1,True,Fast
110,137,2026-05-03 23:40:01,21.9,204,DELETE,11.912,16.57,16.11,1,No Error,Sa-East-1,False,Fast
111,74,2026-05-21 01:54:23,120.46,200,PUT,1181.15,3.11,21.77,1,No Error,Us-East-1,False,Fast
112,80,2026-05-23 08:28:55,162.34,201,PATCH,917.874,7.15,47.66,1,No Error,Sa-East-1,False,Fast
113,108,2026-05-05 15:23:32,40.41,200,DELETE,8.746,18.37,34.47,1,No Error,Sa-East-1,False,Fast
114,14,2026-05-14 21:32:53,397.79,204,POST,2703.55,27.08,13.35,1,No Error,Eu-West-1,False,Moderate
115,47,2026-05-05 05:54:14,47.22,429,GET,11.086,10.24,14.07,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Ap-Southeast-1,True,Fast
116,103,2026-05-22 01:07:52,42.59,200,PUT,4072.576,34.54,18.2,1,No Error,Us-West-2,False,Fast
117,149,2026-05-13 10:59:12,274.42,201,GET,3.302,18.77,28.12,1,No Error,Ap-Southeast-1,False,Moderate
118,25,2026-05-08 17:26:03,371.54,201,PUT,1392.181,3.76,34.83,1,No Error,Sa-East-1,False,Moderate
119,189,2026-05-12 11:46:56,99999.99,200,PATCH,1037.881,17.42,-1.0,1,No Error,Us-West-2,False,Slow
120,45,2026-05-11 00:23:33,333.34,201,PATCH,2038.62,31.64,42.61,1,No Error,Us-West-2,False,Moderate
121,12,2026-05-03 08:26:45,33.88,200,PATCH,110.024,10.26,42.38,1,No Error,Us-East-1,False,Fast
122,13,2026-05-20 04:36:11,72.37,404,DELETE,3.197,8.31,27.66,1,Resource Not Found: Endpoint entity collection does not exist,Ap-Southeast-1,True,Fast
123,137,2026-05-07 15:43:02,291.76,204,PATCH,3851.121,29.79,45.07,1,No Error,Sa-East-1,False,Moderate
124,140,2026-05-11 20:40:12,25.8,201,POST,2841.67,26.56,47.41,1,No Error,Sa-East-1,False,Fast
125,74,2026-05-06 17:28:50,423.89,200,GET,1.174,24.92,41.79,1,No Error,Ap-Southeast-1,False,Moderate
126,145,2026-05-14 16:26:42,20.73,401,PATCH,245.627,4.97,20.72,1,Unauthorized: Signature mismatch or expired bearer token,Ap-Southeast-1,True,Fast
127,217,2026-05-04 14:14:28,165.31,204,POST,3171.298,33.76,35.78,1,No Error,Sa-East-1,False,Fast
128,188,2026-05-01 03:25:17,45.31,404,GET,8.757,10.04,20.0,1,Resource Not Found: Endpoint entity collection does not exist,Sa-East-1,True,Fast
129,28,2026-05-23 12:11:46,70.84,401,PUT,1794.856,0.43,25.75,1,Unauthorized: Signature mismatch or expired bearer token,Us-West-2,True,Fast
130,23,2026-05-18 00:13:41,329.74,200,DELETE,9.138,34.0,15.84,1,No Error,Us-East-1,False,Moderate
131,193,2026-05-21 08:43:18,22779.92,504,PATCH,97.433,97.93,91.28,1,Gateway Timeout: Upstream microservice failed to respond within 15000ms,Us-East-1,True,Slow
132,85,2026-05-17 17:58:23,38.27,201,GET,6.625,17.31,17.37,1,No Error,Us-East-1,False,Fast
133,185,2026-05-09 04:41:53,215.8,200,DELETE,10.3,1.34,14.24,1,No Error,Us-East-1,False,Moderate
134,248,2026-05-03 15:27:33,264.83,200,DELETE,3.56,5.41,41.06,1,No Error,Eu-West-1,False,Moderate
135,64,2026-05-01 03:08:17,166.11,200,POST,2853.997,35.6,48.05,1,No Error,Ap-Southeast-1,False,Fast
136,142,2026-05-16 05:11:10,103.2,200,PATCH,1625.97,17.39,51.88,1,No Error,Us-East-1,False,Fast
137,129,2026-05-17 11:27:35,-1.0,500,POST,3207.552,-99.0,29.34,1,CRITICAL_TELEMETRY_DROP_OUT,Ap-Southeast-1,True,Fast
138,140,2026-05-17 03:24:53,29.41,400,POST,812.94,2.61,19.11,1,No Error,Eu-West-1,True,Fast
139,135,2026-05-24 12:52:23,93.24,403,GET,2.367,9.9,29.35,2,Forbidden: Client lacks required read/write scopes,Us-East-1,True,Fast
140,29,2026-05-24 12:20:42,365.91,200,GET,9.866,5.97,28.22,1,No Error,Us-East-1,False,Moderate
141,164,2026-05-18 21:26:21,167.88,204,GET,10.103,12.72,25.52,1,No Error,Us-East-1,False,Fast
142,65,2026-05-17 13:28:36,187.52,204,GET,0.738,36.77,26.55,1,No Error,Eu-West-1,False,Fast
143,70,2026-05-19 03:34:59,275.43,200,PUT,1497.137,27.93,35.03,1,No Error,Ap-Southeast-1,False,Moderate
144,95,2026-05-19 11:31:11,335.47,204,PATCH,2823.387,28.24,36.38,1,No Error,Ap-Southeast-1,False,Moderate
145,47,2026-05-13 05:30:25,221.31,204,PATCH,2428.267,26.75,46.95,1,No Error,Eu-West-1,False,Moderate
146,77,2026-05-01 01:17:59,5674.58,500,DELETE,8.4,98.42,99.22,2,Internal Server Error: NullPointerException in controller execution layer,Sa-East-1,True,Slow
147,163,2026-05-23 14:36:01,311.99,200,GET,5.269,1.35,16.4,1,No Error,Ap-Southeast-1,False,Moderate
148,218,2026-05-23 16:02:53,226.79,204,PATCH,715.317,35.59,43.42,1,No Error,Eu-West-1,False,Moderate
149,185,2026-05-24 17:10:54,261.99,200,PUT,3110.24,1.29,29.33,5,No Error,Eu-West-1,False,Moderate
150,183,2026-05-04 08:35:31,349.11,201,DELETE,5.748,14.57,21.01,2,No Error,Us-East-1,False,Moderate
151,222,2026-05-06 22:23:35,409.49,200,DELETE,4.719,34.35,49.45,1,No Error,Us-West-2,False,Moderate
152,243,2026-05-05 14:54:06,100.63,200,GET,4.488,7.39,40.99,1,No Error,Us-West-2,False,Fast
153,223,2026-05-13 05:20:08,218.39,201,PATCH,2015.773,30.65,26.05,1,No Error,Us-East-1,False,Moderate
154,32,2026-05-25 03:34:09,52.32,201,PATCH,3801.993,1.95,29.84,1,No Error,Us-East-1,False,Fast
155,231,2026-05-03 00:15:01,188.01,200,GET,5.047,11.21,38.77,1,No Error,Us-West-2,False,Fast
156,217,2026-05-06 01:19:59,38.11,404,DELETE,10.178,6.67,25.15,1,Resource Not Found: Endpoint entity collection does not exist,Sa-East-1,True,Fast
157,202,2026-05-25 08:09:24,107.48,204,PUT,904.601,6.0,46.05,1,No Error,Us-West-2,False,Fast
158,205,2026-05-25 22:15:08,47.43,403,POST,1670.551,12.0,29.41,1,Forbidden: Client lacks required read/write scopes,Us-East-1,True,Fast
159,69,2026-05-22 09:24:30,104.92,201,PUT,334.957,24.94,50.84,1,No Error,Eu-West-1,False,Fast
160,71,2026-05-02 14:56:51,24.1,403,DELETE,3.755,2.56,18.22,1,Forbidden: Client lacks required read/write scopes,Us-East-1,True,Fast
161,237,2026-05-17 15:45:15,125.53,200,PUT,2932.864,5.97,51.15,1,No Error,Eu-West-1,False,Fast
162,122,2026-05-25 17:22:28,15.91,404,PUT,1706.738,10.08,24.62,1,Resource Not Found: Endpoint entity collection does not exist,Eu-West-1,True,Fast
163,108,2026-05-05 03:20:57,109.85,204,POST,1684.91,2.38,28.27,1,No Error,Ap-Southeast-1,False,Fast
164,85,2026-05-21 17:11:24,426.74,200,PUT,3601.212,29.5,22.81,1,No Error,Ap-Southeast-1,False,Moderate
165,33,2026-05-15 23:10:03,447.11,201,PATCH,2510.399,33.89,46.07,1,No Error,Us-West-2,False,Moderate
166,211,2026-05-09 10:03:46,98.7,201,PUT,353.469,18.18,19.75,1,No Error,Us-East-1,False,Fast
167,135,2026-05-25 08:10:12,21.03,400,GET,2.893,9.27,13.67,1,No Error,Eu-West-1,True,Fast
168,187,2026-05-18 19:14:26,205.88,204,DELETE,4.849,37.75,51.89,1,No Error,Sa-East-1,False,Moderate
169,225,2026-05-07 22:05:26,202.73,200,PUT,3014.336,9.74,28.23,1,No Error,Ap-Southeast-1,False,Moderate
170,79,2026-05-24 23:20:28,32.04,204,POST,269.223,15.5,20.35,1,No Error,Us-West-2,False,Fast
171,190,2026-05-23 14:44:21,406.63,204,DELETE,8.334,8.77,31.97,1,No Error,Sa-East-1,False,Moderate
172,166,2026-05-17 06:09:07,202.58,201,POST,1473.427,22.95,48.51,2,No Error,Us-East-1,False,Moderate
173,106,2026-05-07 01:35:25,20132.05,500,DELETE,3.311,97.3,89.26,1,Internal Server Error: NullPointerException in controller execution layer,Sa-East-1,True,Slow
174,201,2026-05-01 16:01:39,204.01,200,DELETE,1.942,11.54,12.65,1,No Error,Eu-West-1,False,Moderate
175,88,2026-05-16 05:06:38,11.12,400,PUT,3018.397,10.47,18.2,2,Bad Request: Invalid JSON payload structure,Us-East-1,True,Fast
176,127,2026-05-23 02:12:14,245.64,201,PUT,432.139,29.84,33.58,1,No Error,Ap-Southeast-1,False,Moderate
177,207,2026-05-25 17:30:25,326.19,204,PATCH,105.045,22.75,41.74,1,No Error,Ap-Southeast-1,False,Moderate
178,219,2026-05-12 07:48:20,81.1,400,PATCH,2107.501,5.26,8.91,1,Bad Request: Invalid JSON payload structure,Sa-East-1,True,Fast
179,231,2026-05-20 23:34:33,340.33,204,POST,703.899,22.45,39.5,1,No Error,Us-East-1,False,Moderate
180,195,2026-05-06 09:45:54,172.42,200,PUT,701.223,23.9,51.88,1,No Error,Ap-Southeast-1,False,Fast
181,236,2026-05-07 16:19:19,13.87,403,DELETE,5.793,5.15,9.13,1,Forbidden: Client lacks required read/write scopes,Ap-Southeast-1,True,Fast
182,89,2026-05-05 20:47:34,49.36,200,POST,1656.631,7.92,27.1,1,No Error,Ap-Southeast-1,False,Fast
183,179,2026-05-18 13:15:44,263.85,204,POST,1856.947,36.88,23.02,1,No Error,Sa-East-1,False,Moderate
184,40,2026-05-21 03:54:10,252.6,201,POST,1405.285,27.52,39.64,1,No Error,Eu-West-1,False,Moderate
185,199,2026-05-14 17:09:27,162.1,200,DELETE,6.014,22.15,43.23,1,No Error,Us-West-2,False,Fast
186,195,2026-05-21 06:52:30,293.27,201,POST,2420.291,1.69,12.22,2,No Error,Sa-East-1,False,Moderate
187,98,2026-05-12 19:48:19,22.63,200,DELETE,10.051,5.03,35.84,1,No Error,Ap-Southeast-1,False,Fast
188,19,2026-05-24 15:49:00,4.6,400,GET,3.41,3.2,23.24,1,Bad Request: Invalid JSON payload structure,Sa-East-1,True,Fast
189,131,2026-05-23 04:50:02,92.45,429,GET,2.878,6.13,29.83,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Eu-West-1,True,Fast
190,10,2026-05-23 17:25:36,21.56,200,GET,7.863,6.23,42.62,1,No Error,Ap-Southeast-1,False,Fast
191,143,2026-05-21 19:53:28,232.55,201,PUT,864.814,32.1,15.98,1,No Error,Ap-Southeast-1,False,Moderate
192,238,2026-05-01 21:22:12,182.35,201,PATCH,575.297,30.93,32.65,1,No Error,Us-East-1,False,Fast
193,41,2026-05-04 21:05:33,117.32,201,POST,3382.442,4.35,44.59,1,No Error,Ap-Southeast-1,False,Fast
194,130,2026-05-18 02:53:03,28.73,404,DELETE,7.094,2.23,27.83,1,Resource Not Found: Endpoint entity collection does not exist,Ap-Southeast-1,True,Fast
195,70,2026-05-22 16:03:41,67.37,200,PATCH,1653.437,31.01,38.15,1,No Error,Ap-Southeast-1,False,Fast
196,120,2026-05-04 04:28:04,126.59,201,POST,227.112,2.86,48.06,1,No Error,Us-East-1,False,Fast
197,129,2026-05-08 06:07:55,58.24,429,PATCH,470.255,0.28,22.59,1,Rate Limit Exceeded: Threshold of 100 req/sec breached,Us-West-2,True,Fast
198,213,2026-05-12 21:42:20,77.89,201,DELETE,1.494,29.49,50.0,1,No Error,Sa-East-1,False,Fast
199,22,2026-05-23 20:38:21,98.4,204,PATCH,3918.244,5.66,27.79,1,No Error,Us-West-2,False,Fast
200,29,2026-05-12 18:10:18,436.31,200,PUT,2515.068,18.33,46.23,2,No Error,Us-West-2,False,Moderate
201,44,2026-05-20 01:33:35,128.85,200,DELETE,3.278,24.33,50.48,1,No Error,Us-East-1,False,Fast
202,89,2026-05-25 23:49:52,-1.0,200,PATCH,2151.623,17.42,0.0,5,No Error,Sa-East-1,False,Fast
203,156,2026-05-02 15:46:00,196.44,201,POST,2421.954,8.85,35.91,1,No Error,Us-West-2,False,Fast
204,26,2026-05-08 07:19:59,44.46,200,PATCH,463.937,28.61,37.53,2,No Error,Us-East-1,False,Fast
205,3,2026-05-01 22:53:08,413.07,204,GET,6.053,26.58,34.41,1,No Error,Eu-West-1,False,Moderate
206,76,2026-05-03 13:57:44,40.0,401,POST,1650.036,2.35,16.02,1,Unauthorized: Signature mismatch or expired bearer token,Us-East-1,True,Fast
207,100,2026-05-20 05:43:01,50.52,200,GET,4.473,22.56,47.53,2,No Error,Ap-Southeast-1,False,Fast
208,21,2026-05-05 16:21:08,169.33,201,GET,8.997,33.77,50.44,1,No Error,Eu-West-1,False,Fast
209,139,2026-05-22 14:20:24,17.32,200,POST,2825.115,5.21,47.84,1,No Error,Us-West-2,False,Fast
210,185,2026-05-03 15:39:49,424.21,200,GET,10.438,23.17,30.77,1,No Error,Us-East-1,False,Moderate
211,101,2026-05-12 15:55:41,22.63,200,GET,1.657,28.32,25.6,1,No Error,Sa-East-1,False,Fast
212,3,2026-05-01 03:12:32,192.33,204,POST,974.697,37.47,21.88,5,No Error,Us-West-2,False,Fast
213,17,2026-05-01 16:00:04,217.71,200,GET,6.257,21.24,33.27,1,No Error,Us-East-1,False,Moderate
214,74,2026-05-25 00:25:59,63.14,200,POST,1388.29,1.65,46.13,1,No Error,Us-East-1,False,Fast
215,36,2026-05-23 05:55:02,227.19,204,PATCH,863.644,13.53,21.14,1,No Error,Eu-West-1,False,Moderate
